"通貨ペア","日付","始値","高値","安値","終値"
"1","2021/01/07",103.001,103.958,102.950,103.814
"1","2021/01/06",102.697,103.445,102.592,103.069
"1","2021/01/05",103.054,103.192,102.605,102.719
"1","2021/01/04",103.083,103.316,102.713,103.152
"1","2020/12/31",103.128,103.317,102.995,103.292
"1","2020/12/30",103.530,103.584,102.962,103.211
"1","2020/12/29",103.722,103.806,103.463,103.531
"1","2020/12/28",103.496,103.899,103.404,103.788
"1","2020/12/25",103.615,103.656,103.486,103.585
"1","2020/12/24",103.504,103.765,103.500,103.598
"1","2020/12/23",103.595,103.651,103.357,103.545
"1","2020/12/22",103.287,103.732,103.267,103.602
"1","2020/12/21",103.474,103.891,103.252,103.304
"1","2020/12/18",103.087,103.594,103.084,103.34
"1","2020/12/17",103.410,103.562,102.875,103.075
"1","2020/12/16",103.623,103.918,103.262,103.421
"1","2020/12/15",104.009,104.153,103.608,103.643
"1","2020/12/14",103.954,104.104,103.512,104.013
"1","2020/12/11",104.230,104.268,103.825,104.028
"1","2020/12/10",104.183,104.580,104.150,104.212
"1","2020/12/09",104.159,104.405,104.053,104.227
"1","2020/12/08",104.024,104.208,103.956,104.149
"1","2020/12/07",104.015,104.313,103.921,104.037
"1","2020/12/04",103.843,104.246,103.738,104.199
"1","2020/12/03",104.373,104.536,103.672,103.849
"1","2020/12/02",104.268,104.752,104.226,104.412
"1","2020/12/01",104.256,104.579,104.183,104.319
"1","2020/11/30",104.048,104.408,103.831,104.35
"1","2020/11/27",104.203,104.272,103.907,104.067
"1","2020/11/26",104.417,104.453,104.217,104.243
"1","2020/11/25",104.378,104.599,104.256,104.462
"1","2020/11/24",104.466,104.760,104.147,104.447
"1","2020/11/23",103.765,104.638,103.684,104.53
"1","2020/11/20",103.698,103.912,103.696,103.812
"1","2020/11/19",103.743,104.218,103.719,103.745
"1","2020/11/18",104.158,104.198,103.647,103.79
"1","2020/11/17",104.536,104.583,104.070,104.182
"1","2020/11/16",104.677,105.122,104.364,104.564
"1","2020/11/13",105.098,105.150,104.563,104.589
"1","2020/11/12",105.412,105.478,105.070,105.123
