"通貨ペア","日付","始値","高値","安値","終値"
"3","2021/01/07",1.23233,1.23445,1.22450,1.22696
"3","2021/01/06",1.22912,1.23494,1.22655,1.2327
"3","2021/01/05",1.22463,1.23057,1.22461,1.22963
"3","2021/01/04",1.22350,1.23100,1.22278,1.22505
"3","2020/12/31",1.22891,1.23093,1.22091,1.22176
"3","2020/12/30",1.22451,1.23099,1.22451,1.22991
"3","2020/12/29",1.22096,1.22752,1.22047,1.22509
"3","2020/12/28",1.21890,1.22506,1.21810,1.22131
"3","2020/12/25",1.21788,1.21994,1.21678,1.21947
"3","2020/12/24",1.21824,1.22158,1.21764,1.2184
"3","2020/12/23",1.21574,1.22211,1.21539,1.21818
"3","2020/12/22",1.22300,1.22570,1.21522,1.21647
"3","2020/12/21",1.22194,1.22530,1.21295,1.22348
"3","2020/12/18",1.22629,1.22697,1.22254,1.22532
"3","2020/12/17",1.21925,1.22727,1.21897,1.22707
"3","2020/12/16",1.21486,1.22120,1.21247,1.22002
"3","2020/12/15",1.21393,1.21689,1.21211,1.21556
"3","2020/12/14",1.21323,1.21768,1.21156,1.21449
"3","2020/12/11",1.21348,1.21631,1.21053,1.21148
"3","2020/12/10",1.20773,1.21589,1.20732,1.21411
"3","2020/12/09",1.21012,1.21474,1.20586,1.20808
"3","2020/12/08",1.21064,1.21341,1.20954,1.21049
"3","2020/12/07",1.21270,1.21663,1.20785,1.21078
"3","2020/12/04",1.21367,1.21774,1.21124,1.21154
"3","2020/12/03",1.21109,1.21746,1.21009,1.21468
"3","2020/12/02",1.20659,1.21185,1.20399,1.21168
"3","2020/12/01",1.19266,1.20766,1.19218,1.20688
"3","2020/11/30",1.19577,1.20032,1.19239,1.19251
"3","2020/11/27",1.19071,1.19629,1.19052,1.19622
"3","2020/11/26",1.19095,1.19409,1.18853,1.19094
"3","2020/11/25",1.18900,1.19296,1.18818,1.19127
"3","2020/11/24",1.18362,1.18960,1.18324,1.18903
"3","2020/11/23",1.18539,1.19061,1.18001,1.18409
"3","2020/11/20",1.18707,1.18909,1.18498,1.1862
"3","2020/11/19",1.18501,1.18825,1.18162,1.18761
"3","2020/11/18",1.18598,1.18911,1.18491,1.18549
"3","2020/11/17",1.18475,1.18938,1.18421,1.18615
"3","2020/11/16",1.18373,1.18690,1.18141,1.18555
"3","2020/11/13",1.18032,1.18372,1.17991,1.18328
"3","2020/11/12",1.17706,1.18232,1.17587,1.1805
"3","2020/11/11",1.18114,1.18327,1.17455,1.17787
"3","2020/11/10",1.18127,1.18434,1.17797,1.18163
"3","2020/11/09",1.18852,1.19197,1.17950,1.18117
"3","2020/11/06",1.18229,1.18906,1.17953,1.18771
"3","2020/11/05",1.17200,1.18597,1.17108,1.18296
"3","2020/11/04",1.17130,1.17695,1.16025,1.17245
"3","2020/11/03",1.16348,1.17399,1.16336,1.17203
"3","2020/11/02",1.16449,1.16557,1.16221,1.16389
"3","2020/10/30",1.16673,1.17043,1.16401,1.16477
"3","2020/10/29",1.17426,1.17589,1.16501,1.1672
"3","2020/10/28",1.17871,1.17896,1.17178,1.17469
"3","2020/10/27",1.18075,1.18389,1.17963,1.17976
"3","2020/10/26",1.18515,1.18558,1.18033,1.18095
"3","2020/10/23",1.18133,1.18646,1.17867,1.18627
"3","2020/10/22",1.18539,1.18669,1.18113,1.18187
"3","2020/10/21",1.18173,1.18807,1.18173,1.18587
"3","2020/10/20",1.17660,1.18408,1.17599,1.18234
"3","2020/10/19",1.17143,1.17938,1.17031,1.17708
"3","2020/10/16",1.17041,1.17461,1.16940,1.17148
"3","2020/10/15",1.17446,1.17578,1.16885,1.17074
"3","2020/10/14",1.17418,1.17711,1.17198,1.17465
"3","2020/10/13",1.18108,1.18151,1.17309,1.1746
"3","2020/10/12",1.18096,1.18267,1.17868,1.18132
"3","2020/10/09",1.17546,1.18289,1.17531,1.18279
"3","2020/10/08",1.17575,1.17816,1.17320,1.17582
"3","2020/10/07",1.17287,1.17819,1.17250,1.17638
"3","2020/10/06",1.17775,1.18077,1.17316,1.17319
"3","2020/10/05",1.17085,1.17976,1.17073,1.17858
"3","2020/10/02",1.17426,1.17465,1.16958,1.1716
"3","2020/10/01",1.17159,1.17698,1.17159,1.17453
"3","2020/09/30",1.17378,1.17550,1.16846,1.17213
"3","2020/09/29",1.16603,1.17455,1.16591,1.17421
"3","2020/09/28",1.16211,1.16799,1.16150,1.16663
"3","2020/09/25",1.16682,1.16851,1.16121,1.16276
"3","2020/09/24",1.16573,1.16869,1.16265,1.16672
"3","2020/09/23",1.17034,1.17190,1.16513,1.16608
"3","2020/09/22",1.17674,1.17716,1.16914,1.1709
"3","2020/09/21",1.18386,1.18717,1.17316,1.17731
"3","2020/09/18",1.18417,1.18703,1.18257,1.18442
"3","2020/09/17",1.18107,1.18522,1.17366,1.18465
"3","2020/09/16",1.18444,1.18827,1.17874,1.18151
"3","2020/09/15",1.18618,1.19004,1.18393,1.18459
"3","2020/09/14",1.18322,1.18880,1.18318,1.1863
"3","2020/09/11",1.18100,1.18741,1.18089,1.1843
"3","2020/09/10",1.17976,1.19175,1.17976,1.18141
"3","2020/09/09",1.17711,1.18336,1.17526,1.18042
"3","2020/09/08",1.18090,1.18275,1.17654,1.1774
"3","2020/09/07",1.18350,1.18486,1.18106,1.18121
"3","2020/09/04",1.18455,1.18654,1.17809,1.18374
"3","2020/09/03",1.18512,1.18646,1.17889,1.18521
"3","2020/09/02",1.19113,1.19288,1.18220,1.1855
"3","2020/09/01",1.19317,1.20113,1.19010,1.19124
"3","2020/08/31",1.19036,1.19659,1.18842,1.19369
"3","2020/08/28",1.18155,1.19198,1.18108,1.19008
"3","2020/08/27",1.18272,1.19017,1.17624,1.18217
"3","2020/08/26",1.18302,1.18392,1.17716,1.18296
"3","2020/08/25",1.17833,1.18436,1.17821,1.18346
"3","2020/08/24",1.17905,1.18494,1.17840,1.17876
"3","2020/08/21",1.18572,1.18830,1.17542,1.17969
"3","2020/08/20",1.18352,1.18687,1.18021,1.18609
"3","2020/08/19",1.19260,1.19527,1.18300,1.184
"3","2020/08/18",1.18669,1.19656,1.18608,1.19349
"3","2020/08/17",1.18385,1.18808,1.18286,1.18721
"3","2020/08/14",1.18089,1.18504,1.17812,1.18385
"3","2020/08/13",1.17799,1.18641,1.17793,1.18149
"3","2020/08/12",1.17353,1.18174,1.17110,1.17868
"3","2020/08/11",1.17356,1.18075,1.17220,1.17398
"3","2020/08/10",1.17816,1.18007,1.17362,1.17369
"3","2020/08/07",1.18692,1.18819,1.17551,1.17864
"3","2020/08/06",1.18596,1.19160,1.18176,1.18774
"3","2020/08/05",1.17956,1.19049,1.17913,1.18644
"3","2020/08/04",1.17578,1.18059,1.17213,1.18013
"3","2020/08/03",1.17706,1.17968,1.16957,1.17651
"3","2020/07/31",1.18418,1.19084,1.17615,1.17762
"3","2020/07/30",1.17864,1.18482,1.17304,1.18477
"3","2020/07/29",1.17118,1.18060,1.17116,1.17921
"3","2020/07/28",1.17444,1.17737,1.16987,1.17163
"3","2020/07/27",1.16401,1.17814,1.16401,1.17505
"3","2020/07/24",1.15912,1.16579,1.15811,1.16525
"3","2020/07/23",1.15626,1.16267,1.15402,1.15959
"3","2020/07/22",1.15266,1.16012,1.15067,1.15689
"3","2020/07/21",1.14397,1.15397,1.14225,1.15221
"3","2020/07/20",1.14145,1.14678,1.14020,1.14478
"3","2020/07/17",1.13766,1.14437,1.13744,1.14346
"3","2020/07/16",1.14051,1.14418,1.13704,1.13831
"3","2020/07/15",1.13957,1.14520,1.13910,1.14119
"3","2020/07/14",1.13397,1.14086,1.13252,1.13976
"3","2020/07/13",1.13000,1.13749,1.12994,1.13413
"3","2020/07/10",1.12785,1.13250,1.12547,1.12994
"3","2020/07/09",1.13252,1.13706,1.12800,1.12831
"3","2020/07/08",1.12669,1.13516,1.12623,1.13307
"3","2020/07/07",1.13046,1.13325,1.12588,1.1272
"3","2020/07/06",1.12401,1.13455,1.12377,1.13081
"3","2020/07/03",1.12311,1.12504,1.12191,1.12483
"3","2020/07/02",1.12498,1.13027,1.12233,1.12394
"3","2020/07/01",1.12292,1.12751,1.11849,1.12511
"3","2020/06/30",1.12318,1.12618,1.11909,1.12338
"3","2020/06/29",1.12190,1.12878,1.12147,1.12413
"3","2020/06/26",1.12114,1.12394,1.11951,1.12204
"3","2020/06/25",1.12478,1.12597,1.11905,1.12177
"3","2020/06/24",1.13045,1.13257,1.12480,1.12483
"3","2020/06/23",1.12571,1.13487,1.12330,1.13063
"3","2020/06/22",1.11792,1.12699,1.11683,1.12646
"3","2020/06/19",1.11997,1.12546,1.11680,1.11742
"3","2020/06/18",1.12396,1.12613,1.11855,1.12057
"3","2020/06/17",1.12559,1.12940,1.12068,1.12426
"3","2020/06/16",1.13156,1.13532,1.12277,1.12611
"3","2020/06/15",1.12374,1.13323,1.12248,1.13212
"3","2020/06/12",1.12896,1.13405,1.12125,1.12536
"3","2020/06/11",1.13698,1.14038,1.12885,1.12996
"3","2020/06/10",1.13327,1.14225,1.13208,1.13743
