"通貨ペア","日付","始値","高値","安値","終値"
"5","2021/01/07",1.36006,1.36331,1.35321,1.35602
"5","2021/01/06",1.36130,1.36708,1.35394,1.36067
"5","2021/01/05",1.35628,1.36418,1.35539,1.36248
"5","2021/01/04",1.36440,1.37037,1.35414,1.35628
"5","2020/12/31",1.36080,1.36861,1.36006,1.36609
"5","2020/12/30",1.34912,1.36246,1.34912,1.36225
"5","2020/12/29",1.34448,1.35226,1.34378,1.35032
"5","2020/12/28",1.35412,1.35758,1.34294,1.34539
"5","2020/12/25",1.35337,1.35717,1.35301,1.35694
"5","2020/12/24",1.34865,1.36192,1.34865,1.35399
"5","2020/12/23",1.33583,1.35703,1.33491,1.34969
"5","2020/12/22",1.34576,1.34682,1.33036,1.33709
"5","2020/12/21",1.33972,1.34985,1.31873,1.34579
"5","2020/12/18",1.35772,1.35859,1.34709,1.34912
"5","2020/12/17",1.34936,1.36243,1.34933,1.35814
"5","2020/12/16",1.34515,1.35538,1.34342,1.35096
"5","2020/12/15",1.33226,1.34653,1.32797,1.34603
"5","2020/12/14",1.33587,1.34452,1.32898,1.33262
"5","2020/12/11",1.32873,1.33243,1.31340,1.32169
"5","2020/12/10",1.33974,1.34092,1.32451,1.32944
"5","2020/12/09",1.33524,1.34778,1.33479,1.34025
"5","2020/12/08",1.33707,1.33923,1.32894,1.33527
"5","2020/12/07",1.34026,1.34378,1.32238,1.33756
"5","2020/12/04",1.34481,1.35395,1.34098,1.34262
"5","2020/12/03",1.33621,1.34996,1.33533,1.34499
"5","2020/12/02",1.34198,1.34410,1.32873,1.33662
"5","2020/12/01",1.33177,1.34427,1.33155,1.3424
"5","2020/11/30",1.33251,1.33851,1.33048,1.33237
"5","2020/11/27",1.33474,1.33814,1.32870,1.33019
"5","2020/11/26",1.33700,1.33977,1.33218,1.33514
"5","2020/11/25",1.33514,1.33932,1.33039,1.33848
"5","2020/11/24",1.33139,1.33801,1.32927,1.33604
"5","2020/11/23",1.32882,1.33974,1.32637,1.33246
"5","2020/11/20",1.32542,1.32972,1.32437,1.32869
"5","2020/11/19",1.32654,1.32789,1.31958,1.32657
"5","2020/11/18",1.32452,1.33121,1.32433,1.32703
"5","2020/11/17",1.31875,1.32722,1.31833,1.32494
"5","2020/11/16",1.31636,1.32424,1.31575,1.3199
"5","2020/11/13",1.31128,1.31987,1.31088,1.31963
"5","2020/11/12",1.32151,1.32279,1.31058,1.31193
"5","2020/11/11",1.32562,1.33123,1.31911,1.3222
"5","2020/11/10",1.31580,1.32779,1.31554,1.32757
"5","2020/11/09",1.31546,1.32080,1.31178,1.31577
"5","2020/11/06",1.31432,1.31771,1.30922,1.31435
"5","2020/11/05",1.29825,1.31527,1.29318,1.31489
"5","2020/11/04",1.30530,1.31395,1.29140,1.29924
"5","2020/11/03",1.29067,1.30785,1.29056,1.30642
"5","2020/11/02",1.29192,1.29425,1.28539,1.29165
"5","2020/10/30",1.29103,1.29879,1.28985,1.29569
"5","2020/10/29",1.29775,1.30250,1.28805,1.29278
"5","2020/10/28",1.30326,1.30638,1.29162,1.29816
"5","2020/10/27",1.30121,1.30794,1.30007,1.3049
"5","2020/10/26",1.30435,1.30748,1.29924,1.30226
"5","2020/10/23",1.30728,1.31222,1.30187,1.30427
"5","2020/10/22",1.31417,1.31504,1.30703,1.30847
"5","2020/10/21",1.29356,1.31768,1.29324,1.31445
"5","2020/10/20",1.29327,1.29790,1.29108,1.29504
"5","2020/10/19",1.28955,1.30240,1.28944,1.29488
"5","2020/10/16",1.29041,1.29620,1.28616,1.29172
"5","2020/10/15",1.30050,1.30299,1.28902,1.29013
"5","2020/10/14",1.29300,1.30641,1.28624,1.30096
"5","2020/10/13",1.30565,1.30677,1.29215,1.29343
"5","2020/10/12",1.30218,1.30825,1.30052,1.30633
"5","2020/10/09",1.29133,1.30452,1.29086,1.30424
"5","2020/10/08",1.29101,1.29700,1.28908,1.29322
"5","2020/10/07",1.28730,1.29294,1.28438,1.29175
"5","2020/10/06",1.29703,1.30072,1.28665,1.28697
"5","2020/10/05",1.29121,1.29911,1.28995,1.29833
"5","2020/10/02",1.28731,1.29539,1.28362,1.29404
