1557 東証ETF SPDR S&P500  ETF（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2020-01-06","34800","34850","34700","34750","7632","34750"
"2020-01-07","35050","35200","35050","35200","3487","35200"
"2020-01-08","34550","34900","34200","34850","11349","34850"
"2020-01-09","35450","35600","35450","35600","6255","35600"
"2020-01-10","35850","35900","35800","35900","3461","35900"
"2020-01-14","36200","36250","36100","36150","4379","36150"
"2020-01-15","35950","36050","35900","35950","4270","35950"
"2020-01-16","36150","36250","36100","36250","2707","36250"
"2020-01-17","36500","36550","36450","36450","9618","36450"
"2020-01-20","36600","36600","36550","36550","2655","36550"
"2020-01-21","36550","36550","36300","36350","5196","36350"
"2020-01-22","36400","36650","36400","36600","2950","36600"
"2020-01-23","36350","36350","36200","36250","4790","36250"
"2020-01-24","36400","36450","36350","36400","3681","36400"
"2020-01-27","35450","35650","35350","35500","17226","35500"
"2020-01-28","35350","35550","35300","35500","11200","35500"
"2020-01-29","35700","35900","35650","35800","6711","35800"
"2020-01-30","35650","35700","35300","35450","10528","35450"
"2020-01-31","35750","35950","35700","35800","5131","35800"
"2020-02-03","35000","35300","34950","35250","19374","35250"
"2020-02-04","35200","35550","35200","35550","6153","35550"
"2020-02-05","36000","36100","35900","35950","6303","35950"
"2020-02-06","36550","36900","36500","36800","13264","36800"
"2020-02-07","36800","36850","36600","36700","4351","36700"
"2020-02-10","36300","36600","36250","36500","5384","36500"
"2020-02-12","36900","36950","36800","36950","4870","36950"
"2020-02-13","37000","37100","36950","36950","8472","36950"
"2020-02-14","37000","37200","36950","37150","5220","37150"
"2020-02-17","37200","37200","37050","37200","4206","37200"
"2020-02-18","37100","37100","36900","37000","5621","37000"
"2020-02-19","37150","37200","37050","37200","6424","37200"
"2020-02-20","37650","37800","37550","37700","12621","37700"
"2020-02-21","37600","37750","37500","37550","13850","37550"
"2020-02-25","36000","36200","35900","36100","54141","36100"
"2020-02-26","35400","35500","34500","34800","50503","34800"
"2020-02-27","34300","34350","33650","33850","38373","33850"
"2020-02-28","32500","32650","31650","31750","39908","31750"
"2020-03-02","31550","32400","31400","32250","66919","32250"
"2020-03-03","33600","33650","32950","33000","39339","33000"
